cell_id,group
ciamfepe-1,0
ciamolgg-1,0
cianmoge-1,0
cicomndg-1,0
cidcmmkk-1,0
cieeamdc-1,0
cigcjhbb-1,0
cigkfloh-1,0
cihpinee-1,0
ciichgda-1,0
ciiclidd-1,0
ciicnbih-1,0
ciienjbf-1,0
cijcjbco-1,0
cijjmffm-1,0
cijlcefa-1,0
cijlhffd-1,0
cijljojj-1,0
cijlpmal-1,0
cijmbllb-1,0
cijnkada-1,0
cijphepg-1,0
cikcbcdj-1,0
cikecekj-1,0
cikhbpla-1,0
cikjllok-1,0
cikocdeg-1,0
cikpdhlc-1,0
cilbpbdd-1,0
cileocjm-1,0
cillhijm-1,0
cillkilf-1,0
cimbmfkj-1,0
cincogfn-1,0
cineklkd-1,0
cinihkof-1,0
cinijhch-1,0
cinjfneb-1,0
cinjkekd-1,0
cjcmcpdh-1,0
cjcnanmn-1,0
cjdcmcpd-1,0
cjddmlao-1,0
cjddpmec-1,0
cjdlnhkb-1,0
cjdmdhap-1,0
cjdmijcb-1,0
cjdpdbbo-1,0
cjebdfjp-1,0
cjecfjhj-1,0
cjediiob-1,0
cjefomip-1,0
cjehkoac-1,0
cjehpmfb-1,0
cjennlbj-1,0
cjfabfim-1,0
cjfilena-1,0
cjgclcop-1,0
cjgecofl-1,0
cjgfgfgp-1,0
cjhnnfaj-1,0
cjiebdhh-1,0
cjifmlhd-1,0
cjigdcee-1,0
cjigmpjl-1,0
cjihmano-1,0
cjijekcp-1,0
cjinggci-1,0
cjiniiga-1,0
cjinloho-1,0
cjjakkgm-1,0
cjjipbnp-1,0
cjjkihec-1,0
cjjmplba-1,0
cjjngmmc-1,0
cjjoekik-1,0
cjjpnmcg-1,0
cjkdoepj-1,0
cjkikpoo-1,0
cjklcjlc-1,0
cjljiflb-1,0
cjlmbndg-1,0
cjlpobli-1,0
cjmehmci-1,0
cjmhiodc-1,0
cjmiamdj-1,0
cjndeeak-1,0
ckpedhja-1,0
clegapjm-1,0
cleikaoh-1,0
clejecfe-1,0
clemmiho-1,0
clfabcid-1,0
clfbfgaj-1,0
clfcknlj-1,0
clfdaama-1,0
clffdhan-1,0
clffdohe-1,0
clfmlngp-1,0
clfnpdli-1,0
clgaeggi-1,0
clgaegnd-1,0
clgdmdhc-1,0
clgekmbg-1,0
clggjikl-1,0
clghbjck-1,0
clgjphmg-1,0
clglpjll-1,0
clgmmgjm-1,0
clgnodjh-1,0
clmdagle-1,0
clmefpic-1,0
clmgdidn-1,0
clmoegkk-1,0
clnhkckc-1,0
clnhnibm-1,0
clnigode-1,0
clnmfpgb-1,0
cloejmnc-1,0
clofdicd-1,0
cloggckj-1,0
cloglmco-1,0
clojbddh-1,0
clojokmj-1,0
clpfekij-1,0
clpfogib-1,0
clpghjmi-1,0
clphohab-1,0
cmklcped-1,0
cmkmjepo-1,0
cmlbiiil-1,0
cmnfgmnc-1,0
cmoenepa-1,0
cmolfpbo-1,0
cmolmgjb-1,0
cmonkhma-1,0
cmpefhkk-1,0
cmpganjk-1,0
cmpgeojj-1,0
cmpmbnci-1,0
cmpnlaml-1,0
cmpoeaja-1,0
cmppdnch-1,0
cmppojje-1,0
cnaagicp-1,0
cnabidil-1,0
cnadccop-1,0
cnahhefn-1,0
cnajljle-1,0
cnakmnge-1,0
cndbkjff-1,0
cnidijgh-1,0
cnidldgb-1,0
cniejgbb-1,0
cnifjlck-1,0
cninhpkg-1,0
cniopemf-1,0
cnjmdlgn-1,0
cnjpoknd-1,0
cnkdjjjd-1,0
cnkdlbkg-1,0
cnkekcfk-1,0
cnkgoahp-1,0
cnkhgejc-1,0
cnkhggmi-1,0
cnkhppkb-1,0
cnkkohai-1,0
cocjodbh-1,0
cockjmjd-1,0
coicehbg-1,0
cokpglcl-1,0
cpacadfe-1,0
cpafeifm-1,0
cpamabka-1,0
ddjklfph-1,0
ddplonbi-1,0
deaccdlb-1,0
deppbioc-1,0
dfaaemgk-1,0
dfabnphp-1,0
dfcoebhp-1,0
dgifhgal-1,0
dicmdpae-1,0
didaakha-1,0
didchdai-1,0
didcicmg-1,0
didfikpa-1,0
didfkiie-1,0
didhfipa-1,0
didiflpc-1,0
didjdfim-1,0
didjklej-1,0
didjlndn-1,0
didkeffg-1,0
didlkham-1,0
didlmjkk-1,0
didmieil-1,0
didnmjll-1,0
didpjgnj-1,0
dieefhge-1,0
dieeinih-1,0
dieeookh-1,0
diejniil-1,0
dijegnjg-1,0
dijhgboo-1,0
dimgljlj-1,0
dimooaok-1,0
dlnpiigk-1,0
dloalhen-1,0
dnkolhid-1,0
dnlgfkah-1,0
dnoieglk-1,0
dnomemfc-1,0
doaingln-1,0
dpgihiaj-1,0
dpldkind-1,0
dplhmgpn-1,0
dpmenfkf-1,0
dpmfbdjd-1,0
dpmgflol-1,0
dpmiakoh-1,0
dpmnigic-1,0
dpnajopo-1,0
dpncdfof-1,0
dpnejkgi-1,0
dpnfaojc-1,0
dpnhenli-1,0
dpniikmi-1,0
dpnikcbp-1,0
dpnjmehe-1,0
dpnkbeda-1,0
dpnmklhc-1,0
dpnngkhl-1,0
dpogdhma-1,0
dpohmlfm-1,0
dpokfeln-1,0
dppdjmie-1,0
dppdldbk-1,0
dppgnnad-1,0
dppjmald-1,0
dppkcpfj-1,0
eaagmjgk-1,0
eabdfpnb-1,0
eabjadfg-1,0
eabkgpjf-1,0
eabnffmh-1,0
eabodmdo-1,0
eaboilnf-1,0
eacegeii-1,0
eacfabdd-1,0
eachcigl-1,0
eachpkpi-1,0
eacigelh-1,0
eacjblll-1,0
eacjkdch-1,0
ebngpihn-1,0
ebnjkhkp-1,0
ebnkagnl-1,0
ebnpikjj-1,0
eboahonk-1,0
ebocikhh-1,0
ebodjbfb-1,0
ebodnfna-1,0
ebofadbj-1,0
ebohihbg-1,0
eboikmkk-1,0
eboinplo-1,0
eboipgdj-1,0
ebojelhi-1,0
ebonjenm-1,0
ebooggka-1,0
ebpbclfj-1,0
ebpccfij-1,0
ebpdaoko-1,0
ebpggnkh-1,0
ebpncfom-1,0
ebpolmcl-1,0
ecabijbb-1,0
ecafegih-1,0
ecbeddnn-1,0
ecbgebgc-1,0
ecbjgheb-1,0
ecbkddfd-1,0
ecbljeen-1,0
ecbmiogf-1,0
eccdggam-1,0
ecchoopm-1,0
eccjnfnj-1,0
ecckjppm-1,0
eccnikcm-1,0
eccnpjgo-1,0
eccofpah-1,0
eccoolbb-1,0
ecdapohf-1,0
ecdcolah-1,0
ecdffnbi-1,0
ecdgbmhc-1,0
ecdgonaf-1,0
ecdilped-1,0
ecdkhene-1,0
ecdlokia-1,0
ecdnabep-1,0
eceaohif-1,0
ecedbdmp-1,0
ecedfbpl-1,0
ecefaphl-1,0
ecegdcmj-1,0
eceglkog-1,0
ecelblmj-1,0
ecellcfl-1,0
eceolfmp-1,0
ecepjcjh-1,0
ecfacgij-1,0
ecfdcjcg-1,0
ecfefgkm-1,0
ecfmploe-1,0
ecfnjhhb-1,0
ecfnpglm-1,0
ecfooaie-1,0
ecgbebem-1,0
ecgdjifp-1,0
ecgdopih-1,0
ecgebpeo-1,0
ecgggpem-1,0
ecgjnmfd-1,0
ecgkgdki-1,0
echaahhf-1,0
echfmpla-1,0
echgbnbn-1,0
echghbdc-1,0
echiojla-1,0
echlfbng-1,0
echpiaip-1,0
ecidfbli-1,0
ecidggcp-1,0
ecihhbdo-1,0
eciklabh-1,0
ecilaafc-1,0
ecjdeecb-1,0
ecjdlagn-1,0
ecjjldok-1,0
ecjklkkf-1,0
ecjopkfc-1,0
eckbhcna-1,0
eckjnfjb-1,0
eckokacc-1,0
eckpblcj-1,0
eclaakid-1,0
eclcaboh-1,0
eclfmpod-1,0
eclhajpc-1,0
eclifabc-1,0
eclpikck-1,0
ecmbmkfe-1,0
ecmbpoog-1,0
ecmhefga-1,0
ecmnaimm-1,0
ecmnmmak-1,0
ecmomfbo-1,0
ecmoolhb-1,0
ecmpfmia-1,0
ecnfnpii-1,0
ecnhidio-1,0
ecnjkkhf-1,0
ecnlpjmf-1,0
ecnmdddj-1,0
ecnnjinp-1,0
ecocondm-1,0
ecoeejag-1,0
ecofmeha-1,0
ecohpecb-1,0
ecokahem-1,0
edphppcj-1,0
edplbohm-1,0
edpneffb-1,0
edppaeob-1,0
eeadhjjl-1,0
eeadnglc-1,0
eeaecbgi-1,0
eebcdgle-1,0
eebdgjfb-1,0
eebghnpi-1,0
eebhhmck-1,0
eececmmc-1,0
eecnafof-1,0
efbgoiik-1,0
efbilpaa-1,0
efbmpepi-1,0
efcancji-1,0
efcmmnol-1,0
efdecggb-1,0
efehblme-1,0
efekanim-1,0
effnjclb-1,0
efglcpgo-1,0
efhombfh-1,0
efigkblo-1,0
efikkmkp-1,0
efkhdljb-1,0
efpmjioi-1,0
egblpkgd-1,0
egcakclb-1,0
egceignj-1,0
egfnbego-1,0
eggdcnck-1,0
eggpadca-1,0
eghjocla-1,0
eghnpmnf-1,0
egholhmf-1,0
eghpoefg-1,0
egpjnoed-1,0
egpkickj-1,0
ehabadnb-1,0
ehajiieg-1,0
ehbajlhg-1,0
ehbcednn-1,0
ehcblpbi-1,0
ehcdlpfg-1,0
ehcmpihe-1,0
ehdnjfgi-1,0
eheakhjn-1,0
eheckccm-1,0
ehejigmc-1,0
ehejpnfl-1,0
ehekhfba-1,0
ehfbhccl-1,0
ehfblldj-1,0
ehfdcgnc-1,0
ehfedppj-1,0
ehfhakbn-1,0
ehfngagf-1,0
ehgfmobj-1,0
ehggmmfj-1,0
eiajepbo-1,0
eibkoijg-1,0
eigjfdna-1,0
eihbekok-1,0
eihkipen-1,0
eiiapmbn-1,0
eiiefbii-1,0
eiilaepf-1,0
eijboodi-1,0
eijedoaa-1,0
enaojngi-1,0
enaopfhh-1,0
enhnfokf-1,0
enhonadk-1,0
eniaccoa-1,0
enllchnc-1,0
famecejg-1,0
fdengjhh-1,0
fdfgjcgg-1,0
fdgoeojd-1,0
fgmboboe-1,0
fhnkahao-1,0
fhogccfa-1,0
fhokhdbe-1,0
fhoncpfi-1,0
fiamnegm-1,0
fibhjllb-1,0
fiblhehb-1,0
fiblohof-1,0
fibpnjap-1,0
ficaoicd-1,0
ficffden-1,0
fichgoii-1,0
ficibhfb-1,0
ficigkji-1,0
ficjaeem-1,0
fidcoake-1,0
fidfgngi-1,0
fidieood-1,0
fidiljpe-1,0
fidmgghl-1,0
fidopjin-1,0
fiedeacm-1,0
fiedgjgp-1,0
fieeahlj-1,0
fieejhip-1,0
fiefegcm-1,0
fiefndop-1,0
fieilomp-1,0
fiekhkmj-1,0
fiekhocg-1,0
fielilgn-1,0
fiikhphg-1,0
fiikjpbm-1,0
fiimdgia-1,0
fileonmn-1,0
filgpoof-1,0
filolpcp-1,0
filomogo-1,0
filpnffh-1,0
fimaglje-1,0
fimanann-1,0
fimchchm-1,0
fimdhabb-1,0
fimdmipm-1,0
fimehnej-1,0
fimfklgf-1,0
finaodma-1,0
finblfob-1,0
findfdlh-1,0
finecimc-1,0
finkepbb-1,0
finljcfm-1,0
finmihdm-1,0
finnnnjg-1,0
finpgnka-1,0
fioaefkm-1,0
fioafane-1,0
fioddemm-1,0
fiofgdgl-1,0
fiohbfcg-1,0
fioignok-1,0
fiomnjph-1,0
fipeckkd-1,0
fipfcaph-1,0
fipfmkge-1,0
fiphpkae-1,0
fipiomok-1,0
fipjkbjk-1,0
fipmfbmi-1,0
fipmgoch-1,0
fipobnmd-1,0
fjabpfnn-1,0
fjagmdkh-1,0
fjajloac-1,0
fjalcalj-1,0
fjbbidml-1,0
fjbbmdda-1,0
fjbfbcdp-1,0
fjbgfmjk-1,0
fjbglpco-1,0
fjbkejja-1,0
fjblmomi-1,0
fjbmnjpl-1,0
fjbmnmkm-1,0
fjbndblm-1,0
fjbnenfi-1,0
fjbnjfie-1,0
fjbnmcjh-1,0
fjbpfabe-1,0
fjbpffne-1,0
fjcaedbh-1,0
fjdbedbm-1,0
fjdedfma-1,0
fjdfabbl-1,0
fjdgbhbc-1,0
fjdgcfdn-1,0
fjeamhlb-1,0
fjedijko-1,0
fjedoflk-1,0
fjegmlod-1,0
fkdmoilm-1,0
fkdnnoem-1,0
fkdopfdp-1,0
fkebgcal-1,0
fkekmhec-1,0
fkemhjom-1,0
fkenbpnm-1,0
fkeojnlg-1,0
fkepbppn-1,0
fkfgiaoh-1,0
fkfjbpcl-1,0
fkgacfoj-1,0
fkgaifob-1,0
fkgdbmla-1,0
fkgjnmhe-1,0
fkglmdbn-1,0
fkhabfol-1,0
fkhfaemc-1,0
fkhfaoag-1,0
fkhicdfo-1,0
fklfhjlo-1,0
fklimibc-1,0
fklmmbig-1,0
fklncoaf-1,0
fklocpgl-1,0
fkmhnonl-1,0
fkmiaofp-1,0
fkmlidfb-1,0
fkmlongb-1,0
fkmmepba-1,0
fkmofkbe-1,0
fkmpokhn-1,0
fknehdbl-1,0
fknifcfc-1,0
fknileei-1,0
fknjifch-1,0
fknkdhgn-1,0
fknlaogl-1,0
fknpjglk-1,0
fkoanikp-1,0
fkodnjoo-1,0
fkokaacb-1,0
fkoleeak-1,0
fkolmjma-1,0
gdpkahkf-1,0
ggfhkepb-1,0
ggjaipke-1,0
ghdeofhl-1,0
gmbeengp-1,0
hejpfpdm-1,0
hkcdjbdh-1,0
hkckfmpp-1,0
hkdeijdb-1,0
hkdjdpnd-1,0
hkdnnnak-1,0
hkebncam-1,0
hkfkjdhp-1,0
hkflgpjh-1,0
hkfobdik-1,0
hkghocio-1,0
hkgidkka-1,0
hkhadhon-1,0
hkhbepgf-1,0
hkhccmhi-1,0
hkhcfmgj-1,0
hkhjdpli-1,0
hkideoie-1,0
hkielncj-1,0
hkieoiih-1,0
hkiieiff-1,0
hkijipec-1,0
hkipgeef-1,0
hkipnijd-1,0
hkjagjno-1,0
hkjbmaja-1,0
hkjefkfc-1,0
hkjefljp-1,0
hkjhbokj-1,0
hkldcnmk-1,0
hkleejpo-1,0
hklfcnbg-1,0
hklnmcko-1,0
hklooolk-1,0
hkmclhdb-1,0
hlaeaidc-1,0
hlaecgdf-1,0
hlaejkin-1,0
hldglmpe-1,0
hldjgfpi-1,0
hlefcimc-1,0
hleidjih-1,0
hleimofg-1,0
hlfaedbk-1,0
hlfdcdhn-1,0
hlfedgio-1,0
hlfgfjja-1,0
hlfkceid-1,0
hlfloehg-1,0
hlgdgona-1,0
hlgdokhc-1,0
hlgelgap-1,0
hlgikabe-1,0
hlgjkkmj-1,0
hlglcmdh-1,0
hlgohdjn-1,0
hlhapdcg-1,0
hlhdgfgj-1,0
hlicgioo-1,0
hlidcbbo-1,0
hliehabk-1,0
hlilbocg-1,0
hljfjmec-1,0
hljhbkkc-1,0
hljionld-1,0
hlodbemo-1,0
hloekndp-1,0
hlomaole-1,0
hlopcbjk-1,0
hlopmigc-1,0
hlpadmbd-1,0
hlpaodbh-1,0
hlpbgcli-1,0
hlpgpnch-1,0
hlphiomk-1,0
hlphofjl-1,0
hlpinpja-1,0
hmaajlge-1,0
hmadggfe-1,0
hmadhdga-1,0
hmahobcl-1,0
hmaiajnf-1,0
hmaihemm-1,0
hmajbhdn-1,0
hmaknnof-1,0
hmbcjcgh-1,0
hmbdndig-1,0
hmbkpaaf-1,0
hmbmcojo-1,0
hmcadial-1,0
hmcbebil-1,0
hmfbiokc-1,0
hmgapmel-1,0
hmkalhgd-1,0
hmkcpjhm-1,0
hmkdlhog-1,0
hmphmghp-1,0
hoaioehn-1,0
hoakmmfh-1,0
hobabglg-1,0
hobcfdlf-1,0
hobcipga-1,0
hobfngkm-1,0
hobilmfi-1,0
hocdkono-1,0
hocilgkf-1,0
hodaahnm-1,0
hodcfjfn-1,0
hofllbge-1,0
hohbciej-1,0
hojolblf-1,0
hokgcmme-1,0
hokgglac-1,0
hokjilpo-1,0
hokogjgj-1,0
hokohkge-1,0
holbnejn-1,0
holfaogc-1,0
holfhbfe-1,0
homapcpj-1,0
homfnlho-1,0
homggmfo-1,0
homlmphn-1,0
hommedab-1,0
hommghgc-1,0
honnbpgn-1,0
honofggi-1,0
hooaaaph-1,0
hooaacni-1,0
hooeagfb-1,0
hooeckoo-1,0
hoofjpjf-1,0
