cell_id,group,color
dippkkfo-1,anterior forebrain,#CF8EB1
djbdhbjf-1,anterior forebrain,#CF8EB1
dipmgfif-1,anterior forebrain,#CF8EB1
djammdba-1,anterior forebrain,#CF8EB1
iecmephi-1,anterior forebrain,#CF8EB1
ieebgjpn-1,anterior forebrain,#CF8EB1
iefjbpng-1,anterior forebrain,#CF8EB1
iecogonn-1,anterior forebrain,#CF8EB1
iecmcgkd-1,anterior forebrain,#CF8EB1
iecnoekn-1,anterior forebrain,#CF8EB1
iebofpjc-1,anterior forebrain,#CF8EB1
iecfgndc-1,anterior forebrain,#CF8EB1
idlnnnja-1,anterior forebrain,#CF8EB1
iecfokhb-1,anterior forebrain,#CF8EB1
idlokikm-1,anterior forebrain,#CF8EB1
iecgmkki-1,anterior forebrain,#CF8EB1
iecgcibf-1,anterior forebrain,#CF8EB1
ieckpdip-1,anterior forebrain,#CF8EB1
iecllkgc-1,anterior forebrain,#CF8EB1
idllnono-1,anterior forebrain,#CF8EB1
ieioaoml-1,anterior forebrain,#CF8EB1
iecancpj-1,anterior forebrain,#CF8EB1
iecapfbd-1,anterior forebrain,#CF8EB1
iebmfkng-1,anterior forebrain,#CF8EB1
ieilpglo-1,anterior forebrain,#CF8EB1
iecahoop-1,anterior forebrain,#CF8EB1
iebilplc-1,anterior forebrain,#CF8EB1
ieilhcnc-1,anterior forebrain,#CF8EB1
ieimpcak-1,anterior forebrain,#CF8EB1
idlnonac-1,anterior forebrain,#CF8EB1
iejeaapf-1,anterior forebrain,#CF8EB1
idiaaibe-1,anterior forebrain,#CF8EB1
iegdbbia-1,anterior forebrain,#CF8EB1
ieffefhf-1,anterior forebrain,#CF8EB1
iegeefhg-1,anterior forebrain,#CF8EB1
iefhkmcg-1,anterior forebrain,#CF8EB1
iegedpep-1,anterior forebrain,#CF8EB1
iebholik-1,anterior forebrain,#CF8EB1
iebedcff-1,anterior forebrain,#CF8EB1
iecjegfo-1,anterior forebrain,#CF8EB1
iefkihhg-1,anterior forebrain,#CF8EB1
ieckajck-1,anterior forebrain,#CF8EB1
ieclmolb-1,anterior forebrain,#CF8EB1
iebggmdi-1,anterior forebrain,#CF8EB1
iecgmced-1,anterior forebrain,#CF8EB1
idhopelp-1,anterior forebrain,#CF8EB1
ieebkkgp-1,anterior forebrain,#CF8EB1
iefepbhp-1,anterior forebrain,#CF8EB1
idhpockf-1,anterior forebrain,#CF8EB1
iegblahg-1,anterior forebrain,#CF8EB1
iegolhkg-1,anterior forebrain,#CF8EB1
iefjmfeb-1,anterior forebrain,#CF8EB1
iefmicea-1,anterior forebrain,#CF8EB1
iegfdkjb-1,anterior forebrain,#CF8EB1
iegpiann-1,anterior forebrain,#CF8EB1
ieghbkmh-1,anterior forebrain,#CF8EB1
ieggdddn-1,anterior forebrain,#CF8EB1
iegnmfjn-1,anterior forebrain,#CF8EB1
iefmijga-1,anterior forebrain,#CF8EB1
iehbdnpg-1,anterior forebrain,#CF8EB1
idjleigj-1,anterior forebrain,#CF8EB1
idhomegb-1,anterior forebrain,#CF8EB1
ielkgeap-1,anterior forebrain,#CF8EB1
ieihoafn-1,anterior forebrain,#CF8EB1
ieimfhkh-1,anterior forebrain,#CF8EB1
ieibobab-1,anterior forebrain,#CF8EB1
ieifafmn-1,anterior forebrain,#CF8EB1
ieifpldi-1,anterior forebrain,#CF8EB1
iekcfifb-1,anterior forebrain,#CF8EB1
ieleahbm-1,anterior forebrain,#CF8EB1
iejbnhbi-1,anterior forebrain,#CF8EB1
ieildfng-1,anterior forebrain,#CF8EB1
iejccbpn-1,anterior forebrain,#CF8EB1
iejofggk-1,anterior forebrain,#CF8EB1
iekohgaf-1,anterior forebrain,#CF8EB1
ieklnfaf-1,anterior forebrain,#CF8EB1
iehdnjph-1,anterior forebrain,#CF8EB1
iehmgjnm-1,anterior forebrain,#CF8EB1
iehnkjan-1,anterior forebrain,#CF8EB1
iekkaaom-1,anterior forebrain,#CF8EB1
ielllonh-1,anterior forebrain,#CF8EB1
iehjmhfp-1,anterior forebrain,#CF8EB1
iehekada-1,anterior forebrain,#CF8EB1
ielhnkpl-1,anterior forebrain,#CF8EB1
ieldjgld-1,anterior forebrain,#CF8EB1
iembhemf-1,anterior forebrain,#CF8EB1
iemcoegd-1,anterior forebrain,#CF8EB1
iemdhimp-1,anterior forebrain,#CF8EB1
iembldei-1,anterior forebrain,#CF8EB1
iekbbeoi-1,anterior forebrain,#CF8EB1
iekenihi-1,anterior forebrain,#CF8EB1
iekanjai-1,anterior forebrain,#CF8EB1
iekgmedg-1,anterior forebrain,#CF8EB1
ielakkgp-1,anterior forebrain,#CF8EB1
ieknkgbh-1,anterior forebrain,#CF8EB1
iehdkogk-1,anterior forebrain,#CF8EB1
ieknncmp-1,anterior forebrain,#CF8EB1
iehnpmgg-1,anterior forebrain,#CF8EB1
iekogbba-1,anterior forebrain,#CF8EB1
iehdlnjn-1,anterior forebrain,#CF8EB1
ieibjlnm-1,anterior forebrain,#CF8EB1
iehpjpeh-1,anterior forebrain,#CF8EB1
iehjicaa-1,anterior forebrain,#CF8EB1
iehfpabl-1,anterior forebrain,#CF8EB1
idjpgoao-1,anterior forebrain,#CF8EB1
idjmogje-1,anterior forebrain,#CF8EB1
idkcicnn-1,anterior forebrain,#CF8EB1
idimcloo-1,anterior forebrain,#CF8EB1
idkkhlpb-1,anterior forebrain,#CF8EB1
idkenhpp-1,anterior forebrain,#CF8EB1
idhlokog-1,anterior forebrain,#CF8EB1
idkjicjf-1,anterior forebrain,#CF8EB1
iekgghha-1,anterior forebrain,#CF8EB1
iehfaipe-1,anterior forebrain,#CF8EB1
nedabfga-1,anterior forebrain,#CF8EB1
nedbaena-1,anterior forebrain,#CF8EB1
neicfhhh-1,anterior forebrain,#CF8EB1
neidibpa-1,anterior forebrain,#CF8EB1
necngdnp-1,anterior forebrain,#CF8EB1
necmphko-1,anterior forebrain,#CF8EB1
necmkokb-1,anterior forebrain,#CF8EB1
neifheop-1,anterior forebrain,#CF8EB1
nedeegem-1,anterior forebrain,#CF8EB1
nehilmmb-1,anterior forebrain,#CF8EB1
nedcbmdh-1,anterior forebrain,#CF8EB1
nehielpj-1,anterior forebrain,#CF8EB1
neconefl-1,anterior forebrain,#CF8EB1
necnipmg-1,anterior forebrain,#CF8EB1
nefeoaod-1,anterior forebrain,#CF8EB1
nhbickjh-1,anterior forebrain,#CF8EB1
nhbjjoeo-1,anterior forebrain,#CF8EB1
nehdgmno-1,anterior forebrain,#CF8EB1
nehefapa-1,anterior forebrain,#CF8EB1
nfipfbec-1,anterior forebrain,#CF8EB1
nehgjenn-1,anterior forebrain,#CF8EB1
neaheije-1,anterior forebrain,#CF8EB1
nefedhki-1,anterior forebrain,#CF8EB1
neafahha-1,anterior forebrain,#CF8EB1
neagmnec-1,anterior forebrain,#CF8EB1
nekjhned-1,anterior forebrain,#CF8EB1
neigeddc-1,anterior forebrain,#CF8EB1
nejpkpkb-1,anterior forebrain,#CF8EB1
neillkbb-1,anterior forebrain,#CF8EB1
neikfadp-1,anterior forebrain,#CF8EB1
neikbmfj-1,anterior forebrain,#CF8EB1
nehgmdjl-1,anterior forebrain,#CF8EB1
nehhbhpk-1,anterior forebrain,#CF8EB1
nehnianm-1,anterior forebrain,#CF8EB1
nehinhfb-1,anterior forebrain,#CF8EB1
nehngdgk-1,anterior forebrain,#CF8EB1
nehnfljm-1,anterior forebrain,#CF8EB1
nehgfpbh-1,anterior forebrain,#CF8EB1
nehegbnj-1,anterior forebrain,#CF8EB1
nekfdchp-1,anterior forebrain,#CF8EB1
nekbggln-1,anterior forebrain,#CF8EB1
nekcjlld-1,anterior forebrain,#CF8EB1
nekdjfbi-1,anterior forebrain,#CF8EB1
nekbhpng-1,anterior forebrain,#CF8EB1
nehpfack-1,anterior forebrain,#CF8EB1
