cell_id,group
cagdaieg-1,translumenal cells III (posterior-lower)
cagdmgdc-1,translumenal cells III (posterior-lower)
cagfefep-1,translumenal cells III (posterior-lower)
cagglfgb-1,translumenal cells III (posterior-lower)
caggodhf-1,translumenal cells III (posterior-lower)
cahcglcc-1,translumenal cells III (posterior-lower)
cahidohm-1,translumenal cells III (posterior-lower)
cahnbjie-1,translumenal cells III (posterior-lower)
cahpddnd-1,translumenal cells III (posterior-lower)
caiamdnk-1,translumenal cells III (posterior-lower)
caibcnpk-1,translumenal cells III (posterior-lower)
caidbecc-1,translumenal cells III (posterior-lower)
caifknce-1,translumenal cells III (posterior-lower)
caihdged-1,translumenal cells III (posterior-lower)
caincffa-1,translumenal cells III (posterior-lower)
caioelpi-1,translumenal cells III (posterior-lower)
cajbamgb-1,translumenal cells III (posterior-lower)
cajbnekg-1,translumenal cells III (posterior-lower)
cajcidcl-1,translumenal cells III (posterior-lower)
cajdegmo-1,translumenal cells III (posterior-lower)
cajeoalj-1,translumenal cells III (posterior-lower)
cajiadcj-1,translumenal cells III (posterior-lower)
cajifkip-1,translumenal cells III (posterior-lower)
cajkkjbp-1,translumenal cells III (posterior-lower)
cajmnieb-1,translumenal cells III (posterior-lower)
cajofkjj-1,translumenal cells III (posterior-lower)
cajoglai-1,translumenal cells III (posterior-lower)
cajpkhca-1,translumenal cells III (posterior-lower)
cakaifkm-1,translumenal cells III (posterior-lower)
cakakppi-1,translumenal cells III (posterior-lower)
cakcdaan-1,translumenal cells III (posterior-lower)
cakebhkh-1,translumenal cells III (posterior-lower)
cakgadlg-1,translumenal cells III (posterior-lower)
cakgafbl-1,translumenal cells III (posterior-lower)
cakhfpon-1,translumenal cells III (posterior-lower)
cakiiekj-1,translumenal cells III (posterior-lower)
cakkkanj-1,translumenal cells III (posterior-lower)
calepkkb-1,translumenal cells III (posterior-lower)
calgbhip-1,translumenal cells III (posterior-lower)
calghlci-1,translumenal cells III (posterior-lower)
calnphgb-1,translumenal cells III (posterior-lower)
camagigg-1,translumenal cells III (posterior-lower)
camamheh-1,translumenal cells III (posterior-lower)
camcbfem-1,translumenal cells III (posterior-lower)
camcefmm-1,translumenal cells III (posterior-lower)
caologec-1,translumenal cells III (posterior-lower)
caomjibd-1,translumenal cells III (posterior-lower)
caonhlch-1,translumenal cells III (posterior-lower)
cbkgfojc-1,translumenal cells III (posterior-lower)
cbkggpkg-1,translumenal cells III (posterior-lower)
cbkicmge-1,translumenal cells III (posterior-lower)
cbkihhje-1,translumenal cells III (posterior-lower)
cbkihjdi-1,translumenal cells III (posterior-lower)
cbkjagbi-1,translumenal cells III (posterior-lower)
cbknbkki-1,translumenal cells III (posterior-lower)
cbkndhih-1,translumenal cells III (posterior-lower)
cbkogjdf-1,translumenal cells III (posterior-lower)
cblfknjh-1,translumenal cells III (posterior-lower)
cblgohim-1,translumenal cells III (posterior-lower)
cblgpifa-1,translumenal cells III (posterior-lower)
cblkllkp-1,translumenal cells III (posterior-lower)
cblmmcjb-1,translumenal cells III (posterior-lower)
cbmlmmjl-1,translumenal cells III (posterior-lower)
cbmmognf-1,translumenal cells III (posterior-lower)
ccbfcnkm-1,translumenal cells III (posterior-lower)
ccboifgc-1,translumenal cells III (posterior-lower)
ccbonadg-1,translumenal cells III (posterior-lower)
ccckbbli-1,translumenal cells III (posterior-lower)
ccindolp-1,translumenal cells III (posterior-lower)
cgddlfji-1,translumenal cells III (posterior-lower)
cgdfokgn-1,translumenal cells III (posterior-lower)
cgdjjmpf-1,translumenal cells III (posterior-lower)
cgdkigjo-1,translumenal cells III (posterior-lower)
cgdkikcc-1,translumenal cells III (posterior-lower)
cgecdanh-1,translumenal cells III (posterior-lower)
cgeemgib-1,translumenal cells III (posterior-lower)
cgefdaej-1,translumenal cells III (posterior-lower)
cgefkiap-1,translumenal cells III (posterior-lower)
cgelhlab-1,translumenal cells III (posterior-lower)
cgepipnf-1,translumenal cells III (posterior-lower)
cggcpjak-1,translumenal cells III (posterior-lower)
cghckich-1,translumenal cells III (posterior-lower)
cghkbhjk-1,translumenal cells III (posterior-lower)
cghlgkcd-1,translumenal cells III (posterior-lower)
cghmmepg-1,translumenal cells III (posterior-lower)
cgigodpn-1,translumenal cells III (posterior-lower)
cgiibnob-1,translumenal cells III (posterior-lower)
cgijebeb-1,translumenal cells III (posterior-lower)
cgilfcgb-1,translumenal cells III (posterior-lower)
cgjccnie-1,translumenal cells III (posterior-lower)
cgjebcnb-1,translumenal cells III (posterior-lower)
cgjfelpd-1,translumenal cells III (posterior-lower)
cgjihgbi-1,translumenal cells III (posterior-lower)
cgjlgdag-1,translumenal cells III (posterior-lower)
cgjlipbi-1,translumenal cells III (posterior-lower)
cgjmejpk-1,translumenal cells III (posterior-lower)
cgjnejlk-1,translumenal cells III (posterior-lower)
cgkghjkd-1,translumenal cells III (posterior-lower)
cgkhcfbf-1,translumenal cells III (posterior-lower)
cgldpgam-1,translumenal cells III (posterior-lower)
cglicnbp-1,translumenal cells III (posterior-lower)
cglmlfcd-1,translumenal cells III (posterior-lower)
cglnfkmo-1,translumenal cells III (posterior-lower)
cglnlccc-1,translumenal cells III (posterior-lower)
cglpcmfc-1,translumenal cells III (posterior-lower)
cgmaefaf-1,translumenal cells III (posterior-lower)
